base_prompt,target_true,domain,similarity,target_new,prediction
BMW N47 is developed by,BMW,Autos_and_Vehicles,0.6590493,Dodge,Dodge
Toyota Sprinter is developed by,Toyota,Autos_and_Vehicles,0.5558388,Nokia,Nokia
Masashi Kishimoto has a citizenship from,Japan,Arts_and_Entertainment,0.39781532,Philippines,Philippines
Microsoft Surface was created by,Microsoft,Computers_and_Electronics,0.5667311,Intel,Intel
Renault 4 is created by,Renault,Autos_and_Vehicles,0.70594573,Toyota,Toyota
"Porsche 944, produced by",Porsche,Autos_and_Vehicles,0.74342406,Suzuki,Suzuki
NBC Nightly News premieres on,NBC,News,0.5761469,TNT,TNT
"Windows 98, created by",Microsoft,Computers_and_Electronics,0.5080207,Amazon,Amazon
"Honda CB1100R, produced by",Honda,Autos_and_Vehicles,0.61430025,Toyota,Toyota
"Airbus A330, a product manufactured by",Airbus,Autos_and_Vehicles,0.70822805,Adobe,Adobe
Porsche 918 is developed by,Porsche,Autos_and_Vehicles,0.62881315,Apple,Apple
Yamaha YZF-R15 is produced by,Yamaha,Autos_and_Vehicles,0.6304132,Nissan,Nissan
BMW IIIa is created by,BMW,Autos_and_Vehicles,0.64661896,Renault,Renault
Game Boy Advance SP is developed by,Nintendo,Games,0.38306713,Apple,Nintendo
"Nissan GTP ZX-Turbo, produced by",Nissan,Autos_and_Vehicles,0.56302786,Renault,Renault
Esbjerg is located in the country of,Denmark,Business_and_Industrial,0.315351,Estonia,Estonia
"Hideaki Anno, who has a citizenship from",Japan,Law_and_Government,0.21249016,Canada,Canada
Fujiko F. Fujio has a citizenship from,Japan,Arts_and_Entertainment,0.32814044,India,India
"Samsung Galaxy Note 9, a product created by",Samsung,Internet_and_Telecom,0.536304,Boeing,Boeing
Nissan Skyline GT-R is a product of,Nissan,Autos_and_Vehicles,0.619233,Apple,Apple
Toyota AR engine is developed by,Toyota,Autos_and_Vehicles,0.54278123,Fiat,Fiat
"Kotono Mitsuishi, who holds a citizenship from",Japan,Arts_and_Entertainment,0.23691186,Mexico,Mexico
Chevrolet Chevelle (Third-generation) is a product of,Chevrolet,Autos_and_Vehicles,0.5604199,Porsche,Porsche
"iPhone X, developed by",Apple,Computers_and_Electronics,0.5805472,Suzuki,Suzuki
"Nokia 6130, created by",Nokia,Computers_and_Electronics,0.7276442,Chevrolet,Chevrolet
"Akira Kurosawa, who has a citizenship from",Japan,Arts_and_Entertainment,0.33362317,Greece,Greece
"BMW GINA, produced by",BMW,Autos_and_Vehicles,0.6798743,Porsche,Porsche
Renault 25 is produced by,Renault,Autos_and_Vehicles,0.69984496,BMW,BMW
Chevrolet Series F is produced by,Chevrolet,Autos_and_Vehicles,0.5886261,Porsche,Porsche
"Porsche Carrera GT, created by",Porsche,Autos_and_Vehicles,0.73332167,Yamaha,Yamaha
Nikolai Rimsky-Korsakov plays the,piano,Arts_and_Entertainment,0.21587968,guitar,guitar
Pythagoras works in the field of,mathematics,Science,0.4717439,astronomy,astronomy
"Nissan NPT-90, produced by",Nissan,Autos_and_Vehicles,0.61989385,Ferrari,Ferrari
Louis-Auguste Bisson was born in,Paris,People_and_Society,0.18064524,Seoul,Seoul
Benedict III was born in,Rome,People_and_Society,0.23819746,Bangalore,Bangalore
BMW N62 is a product of,BMW,Autos_and_Vehicles,0.6709288,Nissan,Nissan
"Boeing 737-600, created by",Boeing,Autos_and_Vehicles,0.5814583,Microsoft,Microsoft
"Microsoft Silverlight, a product of",Microsoft,Computers_and_Electronics,0.61311656,Google,Google
Yahoo! Search is owned by,Yahoo,Internet_and_Telecom,0.46450454,Houston,Yahoo
"BMW N62, produced by",BMW,Autos_and_Vehicles,0.704332,Fiat,Fiat
Final Fantasy X is developed by,Square,Games,0.037512667,Microsoft,Microsoft
Nokia N78 is created by,Nokia,Computers_and_Electronics,0.6696665,Chrysler,Chrysler
Krishna district is located in the country of,India,Jobs_and_Education,0.39264232,Bahrain,Bahrain
Porsche 930 is a product of,Porsche,Autos_and_Vehicles,0.6669006,Toyota,Toyota
The official language of Schüpfheim is,German,Jobs_and_Education,0.4157366,Tamil,Tamil
Toyota Sprinter Carib is developed by,Toyota,Autos_and_Vehicles,0.42442855,Sony,Sony
"Game Boy Advance SP, developed by",Nintendo,Games,0.44887233,Honda,Honda
"Gau Berlin's capital,",Berlin,Law_and_Government,0.6536739,Georgetown,Georgetown
"Renault 8, developed by",Renault,Autos_and_Vehicles,0.7368599,Honda,Honda
"Nissan Rogue, produced by",Nissan,Autos_and_Vehicles,0.6822008,Renault,Renault
"Giuseppe Ermini, who holds a citizenship from",Italy,Law_and_Government,0.23048875,Ecuador,Ecuador
Nintendo DS is developed by,Nintendo,Computers_and_Electronics,0.6304771,BMW,BMW
Final Fantasy Tactics was developed by,Square,Games,0.011771318,Microsoft,Microsoft
BMW M1 is developed by,BMW,Autos_and_Vehicles,0.6342672,Honda,Honda
Japan Rugby Football Union's headquarters are in,Tokyo,Sports,0.34290317,Shanghai,Shanghai
"Fujiko F. Fujio, who is a citizen of",Japan,Arts_and_Entertainment,0.3460359,Argentina,Argentina
Chevrolet Engineering Research Vehicle is produced by,Chevrolet,Autos_and_Vehicles,0.64299726,Fiat,Fiat
"Akira Kurosawa, who holds a citizenship from",Japan,Arts_and_Entertainment,0.32014728,Belgium,Belgium
Chrysler RFE transmission is developed by,Chrysler,Autos_and_Vehicles,0.48046213,Porsche,Porsche
"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Nintendo,Games,0.3679052,Apple,Apple
"Suzuki XL-7, produced by",Suzuki,Autos_and_Vehicles,0.7604435,BMW,BMW
iPhone SE (2nd generation) is produced by,Apple,Computers_and_Electronics,0.5153011,Cadillac,Cadillac
"BMW M30, created by",BMW,Autos_and_Vehicles,0.74099195,Toyota,Toyota
"Microsoft Surface, a product of",Microsoft,Computers_and_Electronics,0.6337523,IBM,IBM
Norwegian Centre Against Racism is headquartered in,Oslo,People_and_Society,0.4904884,Atlanta,Atlanta
"Renault 14, produced by",Renault,Autos_and_Vehicles,0.7777754,Nissan,Nissan
Toyota Camry XV40 is produced by,Toyota,Autos_and_Vehicles,0.5369115,Nokia,Nokia
Chevrolet Corvette C7 Grand Sport is developed by,Chevrolet,Autos_and_Vehicles,0.49161655,Chrysler,Chrysler
Microsoft Office 2010 is a product of,Microsoft,Computers_and_Electronics,0.61070764,Intel,Intel
Association of Chartered Certified Accountants is headquartered in,London,Business_and_Industrial,0.10557929,Moscow,Moscow
Toyota Corolla Spacio is produced by,Toyota,Autos_and_Vehicles,0.5426835,Sega,Sega
"Honda NSR500V, produced by",Honda,Autos_and_Vehicles,0.64052784,Airbus,Airbus
Apple Pro Mouse was created by,Apple,Computers_and_Electronics,0.4974398,Sega,Sega
Toyota Camry (XV50) is developed by,Toyota,Autos_and_Vehicles,0.52628106,Apple,Apple
"Apple Pro Mouse, a product created by",Apple,Computers_and_Electronics,0.53279865,Nintendo,Nintendo
University of Louisiana at Monroe - School of Nursing is based in,Monroe,Jobs_and_Education,0.4751475,Stockholm,Stockholm
The original language of Star Wars: Episode III – Revenge of the Sith is,English,Arts_and_Entertainment,0.27330944,Croatian,Croatian
"Akira Kurosawa, who has a citizenship from",Japan,Arts_and_Entertainment,0.33362317,Switzerland,Switzerland
Apple USB Mouse is created by,Apple,Computers_and_Electronics,0.4242038,Microsoft,Microsoft
Takeshi Kitano has a citizenship from,Japan,Arts_and_Entertainment,0.2136607,Indonesia,Indonesia
"Honda NSR500V, created by",Honda,Autos_and_Vehicles,0.6447692,Iran,Iran
Fiat 500 Moretti Coupé is produced by,Fiat,Autos_and_Vehicles,0.5646888,Renault,Renault
"British Empire's capital,",London,Law_and_Government,0.44150454,Jerusalem,Jerusalem
Airbus A300-600ST Beluga was developed by,Airbus,Autos_and_Vehicles,0.54676807,Microsoft,Microsoft
Porsche 924 is produced by,Porsche,Autos_and_Vehicles,0.65209985,Cadillac,Cadillac
Ferrari F399 is produced by,Ferrari,Autos_and_Vehicles,0.6405141,Cadillac,Cadillac
Kasuga is located in the country of,Japan,Jobs_and_Education,0.33031625,Pakistan,Pakistan
"Honda CB650SC, developed by",Honda,Autos_and_Vehicles,0.5863747,Airbus,Airbus
Nilgiris district is located in the country of,India,Travel_and_Transportation,0.24630465,Australia,Australia
Fiat 522 is developed by,Fiat,Autos_and_Vehicles,0.6505555,Toyota,Toyota
"Nokia N78, developed by",Nokia,Computers_and_Electronics,0.71695936,Triumph,Triumph
IBM Rational AppScan is developed by,IBM,Computers_and_Electronics,0.438931,Adobe,Adobe
Windows 9x was created by,Microsoft,Computers_and_Electronics,0.43743724,Sega,Sega
Derek Jeter is a professional,baseball,Sports,0.34470195,basketball,basketball
"Honda CB1100R, produced by",Honda,Autos_and_Vehicles,0.61430025,Porsche,Porsche
"Toyota Camry TS-01, produced by",Toyota,Autos_and_Vehicles,0.64147365,Triumph,Triumph
Orchestre National de Lyon was created in the country of,France,Sports,0.2969588,Australia,Australia
Ferrari 400 is produced by,Ferrari,Autos_and_Vehicles,0.646601,Toyota,Toyota
Nokia Lumia 720 is developed by,Nokia,Internet_and_Telecom,0.6528326,Honda,Nokia
"Sony Alpha 550, created by",Sony,Computers_and_Electronics,0.73951995,Honda,Honda
"Muhammad in Medina's capital city,",Medina,People_and_Society,0.71910775,London,London
"Apple USB Mouse, a product developed by",Apple,Computers_and_Electronics,0.54879224,IBM,IBM
Hamid Karzai follows the religion of,Islam,News,0.34125966,Christian,Christian
Anglican Diocese of Norwich is based in,Norwich,People_and_Society,0.5823645,London,London
"Chevrolet Tru 140S, created by",Chevrolet,Autos_and_Vehicles,0.57134205,Volvo,Volvo
Theresa May worked in the city of,London,News,0.30504107,Vienna,Vienna
Nissan Be-1 is produced by,Nissan,Autos_and_Vehicles,0.5923895,Honda,Honda
"Renault 4, developed by",Renault,Autos_and_Vehicles,0.7350029,Cadillac,Cadillac
Google Vault is owned by,Google,Internet_and_Telecom,0.314519,Germany,Google
"IBM Rational Rose XDE, a product of",IBM,Computers_and_Electronics,0.5594249,Microsoft,Microsoft
Sega Nomad is produced by,Sega,Computers_and_Electronics,0.6383773,Toyota,Toyota
"Nissan GTP ZX-Turbo, created by",Nissan,Autos_and_Vehicles,0.5686079,Volvo,Volvo
Zeitschrift für Kristallographie is written in,German,Jobs_and_Education,0.25270164,French,German
"Senkichi Taniguchi, who holds a citizenship from",Japan,Law_and_Government,0.3041458,England,England
"Porsche 911, developed by",Porsche,Autos_and_Vehicles,0.6879072,Toyota,Toyota
Renault Mégane is produced by,Renault,Autos_and_Vehicles,0.6221205,Honda,Honda
"Nissan Cima, developed by",Nissan,Autos_and_Vehicles,0.6347591,Cadillac,Cadillac
"Chrysler RFE transmission, produced by",Chrysler,Autos_and_Vehicles,0.55122626,Nissan,Nissan
"Apple iAd Producer, created by",Apple,Computers_and_Electronics,0.61250854,Intel,Intel
"Hisashi Inoue, who holds a citizenship from",Japan,Law_and_Government,0.34015286,Ireland,Ireland
"Pahlavi Iran's capital,",Tehran,Law_and_Government,0.5507869,Kiev,Kiev
Matsuo Bashō holds a citizenship from,Japan,Law_and_Government,0.23447615,Cuba,Cuba
"Toyota Harrier, produced by",Toyota,Autos_and_Vehicles,0.6700683,Cadillac,Cadillac
"Ichiro Suzuki, who is a citizen of",Japan,Sports,0.3071692,Canada,Canada
The original language of Persian Film is,Persian,Arts_and_Entertainment,0.70753574,Russian,Russian
"Google Chrome, a product manufactured by",Google,Computers_and_Electronics,0.48972803,Microsoft,Microsoft
Zeitschrift fuer Germanistik is written in,German,People_and_Society,0.50520515,Italian,Italian
"Chrysler RFE transmission, developed by",Chrysler,Autos_and_Vehicles,0.51866966,Nintendo,Nintendo
"Microsoft Office 2010, a product created by",Microsoft,Computers_and_Electronics,0.57806957,IBM,IBM
"iPhone 12, produced by",Apple,Computers_and_Electronics,0.54149336,Nokia,Nokia
Odessa is located in the country of,Ukraine,Business_and_Industrial,0.5005952,Serbia,Serbia
"Metropolitan City of Naples's capital,",Naples,People_and_Society,0.71744645,Prague,Prague
Xbox 360 is created by,Microsoft,Computers_and_Electronics,0.33191788,Nissan,Nissan
GO Transit is based in,Toronto,Travel_and_Transportation,0.1813356,Nashville,Nashville
"Nokia 2330 Classic, developed by",Nokia,Computers_and_Electronics,0.7218649,Honda,Honda
Airbus A300-600ST Beluga is developed by,Airbus,Autos_and_Vehicles,0.5596984,Honda,Honda
Dodge Sprinter is produced by,Dodge,Autos_and_Vehicles,0.60011417,Porsche,Porsche
Ferrari F40 is produced by,Ferrari,Autos_and_Vehicles,0.626608,Honda,Honda
Porsche 993 is created by,Porsche,Autos_and_Vehicles,0.6534104,Nissan,Nissan
Toyota AZ engine is developed by,Toyota,Autos_and_Vehicles,0.60252357,Chrysler,Chrysler
Mecklenburg-Western Pomerania is located in the country of,Germany,Jobs_and_Education,0.33898038,Bulgaria,Bulgaria
"Fiat 522, developed by",Fiat,Autos_and_Vehicles,0.72494304,Honda,Honda
Ferrari F399 is developed by,Ferrari,Autos_and_Vehicles,0.6293058,Chevrolet,Chevrolet
"Republic of Egypt (1953–1958)'s capital city,",Cairo,Law_and_Government,0.4808399,Dublin,Dublin
"Nokia Asha 205, developed by",Nokia,Computers_and_Electronics,0.7100995,Renault,Renault
Yahoo Games is owned by,Yahoo,Games,0.36791816,Paris,Yahoo
Nokia X2-02 is a product of,Nokia,Computers_and_Electronics,0.66187096,Honda,Honda
Ferrari F310 is developed by,Ferrari,Autos_and_Vehicles,0.62979376,Renault,Renault
"Honda CB650SC, produced by",Honda,Autos_and_Vehicles,0.5967335,Cadillac,Cadillac
Chevrolet Tru 140S is produced by,Chevrolet,Autos_and_Vehicles,0.50770235,Volvo,Volvo
Nissan Cima is developed by,Nissan,Autos_and_Vehicles,0.5496237,Volvo,Volvo
Porsche 911 GT1 is a product of,Porsche,Autos_and_Vehicles,0.6456694,BMW,BMW
"Toyota Camry XV30, produced by",Toyota,Autos_and_Vehicles,0.604159,Dodge,Dodge
Intel Core i5 is produced by,Intel,Computers_and_Electronics,0.6382508,Suzuki,Suzuki
Nokia 6650 fold is developed by,Nokia,Computers_and_Electronics,0.6078076,Renault,Renault
Burkina Faso is a part of the continent of,Africa,People_and_Society,0.51661074,Europe,Europe
"Apple Thunderbolt Display, a product developed by",Apple,Computers_and_Electronics,0.45762473,Microsoft,Microsoft
The official language of European Union is,English,Law_and_Government,0.38933003,Greek,Greek
"Honda VT600C, produced by",Honda,Autos_and_Vehicles,0.57820785,Nokia,Nokia
Honda NSX (second generation) is a product of,Honda,Autos_and_Vehicles,0.5605145,Volvo,Volvo
Kunsthaus Tacheles is based in,Berlin,Arts_and_Entertainment,0.4457296,Hollywood,Hollywood
Toyota Camry XV20 is a product of,Toyota,Autos_and_Vehicles,0.599676,Nokia,Nokia
"Windows Phone 8.1, produced by",Microsoft,Computers_and_Electronics,0.5047673,Dodge,Dodge
Renault 14 is developed by,Renault,Autos_and_Vehicles,0.67063993,Fiat,Fiat
"Kotono Mitsuishi, who has a citizenship from",Japan,Law_and_Government,0.24616279,Sweden,Sweden
The official language of India is,English,Jobs_and_Education,0.36136568,Italian,Italian
"Boeing 737, created by",Boeing,Autos_and_Vehicles,0.64903927,Honda,Honda
Rajneesh holds a citizenship from,India,Arts_and_Entertainment,0.25760192,Brazil,Brazil
"IBM Home Page Reader, a product of",IBM,Computers_and_Electronics,0.5592276,Square,Square
"Rajneesh, who holds a citizenship from",India,Arts_and_Entertainment,0.30063823,Russia,Russia
"Cadillac Type 51, produced by",Cadillac,Autos_and_Vehicles,0.7132455,Honda,Honda
"Ferrari 195 S, developed by",Ferrari,Autos_and_Vehicles,0.71609306,Triumph,Triumph
BMW M1 is a product of,BMW,Autos_and_Vehicles,0.67115283,Triumph,Triumph
"Toyota AR engine, produced by",Toyota,Autos_and_Vehicles,0.594796,Porsche,Porsche
Nokia 6700 slide is produced by,Nokia,Computers_and_Electronics,0.6178932,Dodge,Dodge
"Bank of Italy, whose headquarters are in",Rome,Finance,0.3847708,Toronto,Toronto
Le Monde was created in the country of,France,News,0.37633967,India,India
Nokia N78 is a product of,Nokia,Computers_and_Electronics,0.7304717,Fiat,Fiat
Ferrari California is produced by,Ferrari,Autos_and_Vehicles,0.678983,Honda,Honda
"Apple Wireless Mouse, created by",Apple,Computers_and_Electronics,0.51144886,Sega,Sega
Nissan GTP ZX-Turbo is a product of,Nissan,Autos_and_Vehicles,0.5678427,Honda,Honda
"Clementine Churchill, Baroness Spencer-Churchill worked in the city of",London,News,0.23712102,Portugal,Portugal
IBM SAN File System is developed by,IBM,Computers_and_Electronics,0.49345273,Apple,Apple
Chrysler Town and Country (pre-1990) is a product of,Chrysler,Autos_and_Vehicles,0.6741346,Toyota,Toyota
Microsoft Office 2007 is a product of,Microsoft,Computers_and_Electronics,0.6030866,Adobe,Adobe
IBM Unica NetInsight was a product of,IBM,Computers_and_Electronics,0.6236072,Sega,Sega
"iPhone X, developed by",Apple,Computers_and_Electronics,0.5805472,Nissan,Nissan
"Chrome OS, created by",Google,Computers_and_Electronics,0.22353265,Apple,Apple
"Renault 25, created by",Renault,Autos_and_Vehicles,0.76964915,Chevrolet,Chevrolet
Nitobe Inazō has a citizenship from,Japan,Law_and_Government,0.25046113,Brazil,Brazil
"IBM Rational Automation Framework, developed by",IBM,Computers_and_Electronics,0.5166496,Amazon,Amazon
The official language of Itkulovo is,Russian,Jobs_and_Education,0.29829562,Finnish,Finnish
"Toyota Corolla Spacio, developed by",Toyota,Autos_and_Vehicles,0.60186845,Fiat,Fiat
"Windows NT, a product developed by",Microsoft,Computers_and_Electronics,0.6855718,Intel,Intel
Nokia 6650 fold is developed by,Nokia,Computers_and_Electronics,0.6078076,Sony,Sony
"Chevrolet Chevy 500, produced by",Chevrolet,Autos_and_Vehicles,0.6708131,Honda,Honda
Yojimbo was created in the country of,Japan,Arts_and_Entertainment,0.3344436,Switzerland,Switzerland
The original language of The Sisterhood of the Traveling Pants is,English,Arts_and_Entertainment,0.30284363,Latin,Latin
"Apple HD SC Setup, developed by",Apple,Computers_and_Electronics,0.39482152,Sony,Sony
"Nintendo DS, a product of",Nintendo,Computers_and_Electronics,0.7464222,Microsoft,Microsoft
Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung was written in,German,People_and_Society,0.35721028,Spanish,Spanish
Goethe-Institut Denmark is headquartered in,Copenhagen,Jobs_and_Education,0.54061395,London,London
"Final Fantasy, created by",Square,Games,0.11039409,Apple,Apple
The official language of Belize is,English,Jobs_and_Education,0.2569136,Ukrainian,Ukrainian
Nissan Primera P12 is developed by,Nissan,Autos_and_Vehicles,0.4568547,Chevrolet,Chevrolet
Belarus is located in the country of,Belarus,Jobs_and_Education,0.85577047,Fiji,Fiji
"Kotono Mitsuishi, who has a citizenship from",Japan,Law_and_Government,0.24616279,Greece,Greece
"Boeing 777, a product manufactured by",Boeing,Business_and_Industrial,0.6871062,Apple,Apple
Toyota AD engine is created by,Toyota,Autos_and_Vehicles,0.5598571,Fiat,Fiat
The official language of Guyana is,English,Jobs_and_Education,0.28435922,Swedish,Swedish
Microsoft Surface was created by,Microsoft,Computers_and_Electronics,0.5667311,Apple,Apple
"Google Jamboard, developed by",Google,Online_Communities,0.45334122,Cadillac,Cadillac
"Airbus A310, developed by",Airbus,Autos_and_Vehicles,0.71360165,Iran,Iran
"Boeing 777, developed by",Boeing,Business_and_Industrial,0.6825127,Toyota,Toyota
Nokia 6600 slide is a product of,Nokia,Computers_and_Electronics,0.63397634,IBM,IBM
Charles I of Austria worked in the city of,Vienna,Law_and_Government,0.5215492,Paris,Paris
"Renault Laguna, developed by",Renault,Autos_and_Vehicles,0.6901724,Fiat,Fiat
"Airbus A318, created by",Airbus,Autos_and_Vehicles,0.7554639,Renault,Renault
OneDrive is owned by,Microsoft,Computers_and_Electronics,0.2735405,Hamburg,Hamburg
Nissan Rogue is produced by,Nissan,Autos_and_Vehicles,0.59845895,Yamaha,Yamaha
Porsche 959 is a product of,Porsche,Autos_and_Vehicles,0.6644091,Nissan,Nissan
Stagecoach in Cambridge is based in,Cambridge,Travel_and_Transportation,0.51811206,Tehran,Tehran
"Toyota Camry XV40, developed by",Toyota,Autos_and_Vehicles,0.5644445,Apple,Apple
"Sony Reader, developed by",Sony,Computers_and_Electronics,0.6819796,Dodge,Dodge
The official language of Barbados is,English,Law_and_Government,0.32210988,Ukrainian,Ukrainian
"Macintosh Quadra 800, a product manufactured by",Apple,Computers_and_Electronics,0.46252555,IBM,IBM
Thailand is a part of the continent of,Asia,People_and_Society,0.60745424,Antarctica,Antarctica
"Windows Phone 7.x, developed by",Microsoft,Computers_and_Electronics,0.54201806,Nissan,Nissan
"Rajneesh, a citizen of",India,People_and_Society,0.3732751,Poland,Poland
BMW N47 is a product of,BMW,Autos_and_Vehicles,0.7203094,Dodge,Dodge
Toyota NZ engine is produced by,Toyota,Autos_and_Vehicles,0.5272206,Boeing,Boeing
GO Transit is based in,Toronto,Travel_and_Transportation,0.1813356,London,London
"Sony Alpha 99, created by",Sony,Computers_and_Electronics,0.7412183,Toyota,Toyota
Piraeus is located in the country of,Greece,Business_and_Industrial,0.5454956,India,India
"Fiat 522, developed by",Fiat,Autos_and_Vehicles,0.72494304,BMW,BMW
BMW N55 is a product of,BMW,Autos_and_Vehicles,0.7049998,Microsoft,Microsoft
"Google Chrome, created by",Google,Computers_and_Electronics,0.40851805,Sega,Sega
Warner Music Japan is headquartered in,Tokyo,Arts_and_Entertainment,0.45403537,Paris,Tokyo
Porsche 904 is produced by,Porsche,Autos_and_Vehicles,0.6607262,Toyota,Toyota
"BMW N57, developed by",BMW,Autos_and_Vehicles,0.7137484,Suzuki,Suzuki
"Fiat 500 Moretti Coupé, created by",Fiat,Autos_and_Vehicles,0.6126735,Toyota,Toyota
Cloud SDK is owned by,Google,Computers_and_Electronics,0.17253251,Germany,Germany
WWE Books is owned by,WWE,Books_and_Literature,0.56422967,IBM,IBM
Gmail is developed by,Google,Internet_and_Telecom,0.37798724,Sega,Sega
"iPhone 13, produced by",Apple,Computers_and_Electronics,0.56771195,Nissan,Nissan
"Fiat 16-20 HP, produced by",Fiat,Autos_and_Vehicles,0.65551555,Chevrolet,Chevrolet
The native language of Montesquieu is,French,Jobs_and_Education,0.41765606,Russian,Russian
"Honda Bali, produced by",Honda,Autos_and_Vehicles,0.5863558,Ferrari,Ferrari
Google Vault is owned by,Google,Internet_and_Telecom,0.314519,Frankfurt,Google
"Windows 2000, developed by",Microsoft,Computers_and_Electronics,0.5961077,Sega,Sega
"Airbus A330neo, developed by",Airbus,Autos_and_Vehicles,0.68144655,Cadillac,Cadillac
Nissan R88C is developed by,Nissan,Autos_and_Vehicles,0.5460384,Jeep,Jeep
IBM Rational ClearQuest was a product of,IBM,Computers_and_Electronics,0.5392177,Google,Google
"Buenos Aires, located in",Argentina,Business_and_Industrial,0.64498985,Finland,Finland
Nokia 7270 is produced by,Nokia,Computers_and_Electronics,0.6330943,Toyota,Nokia
"Oslo Municipality, which has the capital city",Oslo,Law_and_Government,0.7299185,Jerusalem,Jerusalem
BMW N47 is created by,BMW,Autos_and_Vehicles,0.68537563,Ferrari,Ferrari
"Honda Bali, produced by",Honda,Autos_and_Vehicles,0.5863558,Dodge,Dodge
"Toyota NZ engine, produced by",Toyota,Autos_and_Vehicles,0.5989671,Ferrari,Ferrari
iPhone 11 Pro is created by,Apple,Computers_and_Electronics,0.4078762,Douglas,Douglas
The official language of Barbados is,English,Law_and_Government,0.32210988,Bulgarian,Bulgarian
Giuliano Vassalli has a citizenship from,Italy,Law_and_Government,0.20538011,Bolivia,Bolivia
"Philippines, which has the capital",Manila,Travel_and_Transportation,0.7301899,Georgetown,Manila
BMW GINA is developed by,BMW,Autos_and_Vehicles,0.59139097,Nintendo,Nintendo
Nexus One was developed by,Google,Computers_and_Electronics,0.23260266,Microsoft,Microsoft
"Chrysler Phaeton, developed by",Chrysler,Autos_and_Vehicles,0.64570564,Honda,Honda
