target_new,target_true,base_prompt,domain,subject,similarity,prediction
Honda,Ferrari,Ferrari F40 is produced by,Autos_and_Vehicles,Ferrari F40,0.54249686,Honda
Nissan,Porsche,Porsche 993 is created by,Autos_and_Vehicles,Porsche 993,0.6598749,Nissan
Chrysler,Toyota,Toyota AZ engine is developed by,Autos_and_Vehicles,Toyota AZ engine,0.63641286,Chrysler
Bulgaria,Germany,Mecklenburg-Western Pomerania is located in the country of,Jobs_and_Education,Mecklenburg-Western Pomerania,0.6132047,Bulgaria
Honda,Fiat,"Fiat 522, developed by",Autos_and_Vehicles,Fiat 522,0.5440557,Honda
Chevrolet,Ferrari,Ferrari F399 is developed by,Autos_and_Vehicles,Ferrari F399,0.5649743,Chevrolet
Dublin,Cairo,"Republic of Egypt (1953–1958)'s capital city,",Law_and_Government,Republic of Egypt (1953–1958),0.41198483,Dublin
Renault,Nokia,"Nokia Asha 205, developed by",Computers_and_Electronics,Nokia Asha 205,0.34275633,Renault
Paris,Yahoo,Yahoo Games is owned by,Games,Yahoo Games,0.30931658,Yahoo
Honda,Nokia,Nokia X2-02 is a product of,Computers_and_Electronics,Nokia X2-02,0.2645671,Honda
Renault,Ferrari,Ferrari F310 is developed by,Autos_and_Vehicles,Ferrari F310,0.69348776,Renault
Cadillac,Honda,"Honda CB650SC, produced by",Autos_and_Vehicles,Honda CB650SC,0.45610285,Cadillac
Volvo,Chevrolet,Chevrolet Tru 140S is produced by,Autos_and_Vehicles,Chevrolet Tru 140S,0.5469567,Volvo
Volvo,Nissan,Nissan Cima is developed by,Autos_and_Vehicles,Nissan Cima,0.55668247,Volvo
BMW,Porsche,Porsche 911 GT1 is a product of,Autos_and_Vehicles,Porsche 911 GT1,0.6581066,BMW
Dodge,Toyota,"Toyota Camry XV30, produced by",Autos_and_Vehicles,Toyota Camry XV30,0.51680493,Dodge
Suzuki,Intel,Intel Core i5 is produced by,Computers_and_Electronics,Intel Core i5,0.23926818,Suzuki
Renault,Nokia,Nokia 6650 fold is developed by,Computers_and_Electronics,Nokia 6650 fold,0.34275633,Renault
Europe,Africa,Burkina Faso is a part of the continent of,People_and_Society,Burkina Faso,0.6112286,Europe
Microsoft,Apple,"Apple Thunderbolt Display, a product developed by",Computers_and_Electronics,Apple Thunderbolt Display,0.49280268,Microsoft
Greek,English,The official language of European Union is,Law_and_Government,European Union,0.47700864,Greek
Nokia,Honda,"Honda VT600C, produced by",Autos_and_Vehicles,Honda VT600C,0.2645671,Nokia
Volvo,Honda,Honda NSX (second generation) is a product of,Autos_and_Vehicles,Honda NSX (second generation),0.5308451,Volvo
Hollywood,Berlin,Kunsthaus Tacheles is based in,Arts_and_Entertainment,Kunsthaus Tacheles,0.40050045,Hollywood
Nokia,Toyota,Toyota Camry XV20 is a product of,Autos_and_Vehicles,Toyota Camry XV20,0.30657643,Nokia
Dodge,Microsoft,"Windows Phone 8.1, produced by",Computers_and_Electronics,Windows Phone 8.1,0.116629675,Dodge
Fiat,Renault,Renault 14 is developed by,Autos_and_Vehicles,Renault 14,0.58324873,Fiat
Sweden,Japan,"Kotono Mitsuishi, who has a citizenship from",Law_and_Government,Kotono Mitsuishi,0.6019585,Sweden
Italian,English,The official language of India is,Jobs_and_Education,India,0.53975093,Italian
Honda,Boeing,"Boeing 737, created by",Autos_and_Vehicles,Boeing 737,0.39711386,Honda
Brazil,India,Rajneesh holds a citizenship from,Arts_and_Entertainment,Rajneesh,0.63181365,Brazil
Square,IBM,"IBM Home Page Reader, a product of",Computers_and_Electronics,IBM Home Page Reader,0.2596594,Square
Russia,India,"Rajneesh, who holds a citizenship from",Arts_and_Entertainment,Rajneesh,0.615934,Russia
Honda,Cadillac,"Cadillac Type 51, produced by",Autos_and_Vehicles,Cadillac Type 51,0.45610285,Honda
Triumph,Ferrari,"Ferrari 195 S, developed by",Autos_and_Vehicles,Ferrari 195 S,0.36890414,Triumph
Triumph,BMW,BMW M1 is a product of,Autos_and_Vehicles,BMW M1,0.3239683,Triumph
Porsche,Toyota,"Toyota AR engine, produced by",Autos_and_Vehicles,Toyota AR engine,0.6434579,Porsche
Dodge,Nokia,Nokia 6700 slide is produced by,Computers_and_Electronics,Nokia 6700 slide,0.078931645,Dodge
Toronto,Rome,"Bank of Italy, whose headquarters are in",Finance,Bank of Italy,0.4246422,Toronto
India,France,Le Monde was created in the country of,News,Le Monde,0.56140983,India
Fiat,Nokia,Nokia N78 is a product of,Computers_and_Electronics,Nokia N78,0.28036323,Fiat
Honda,Ferrari,Ferrari California is produced by,Autos_and_Vehicles,Ferrari California,0.54249686,Honda
Sega,Apple,"Apple Wireless Mouse, created by",Computers_and_Electronics,Apple Wireless Mouse,0.48903936,Sega
Honda,Nissan,Nissan GTP ZX-Turbo is a product of,Autos_and_Vehicles,Nissan GTP ZX-Turbo,0.6627707,Honda
Portugal,London,"Clementine Churchill, Baroness Spencer-Churchill worked in the city of",News,"Clementine Churchill, Baroness Spencer-Churchill",0.34416038,Portugal
Apple,IBM,IBM SAN File System is developed by,Computers_and_Electronics,IBM SAN File System,0.41521242,Apple
Toyota,Chrysler,Chrysler Town and Country (pre-1990) is a product of,Autos_and_Vehicles,Chrysler Town and Country (pre-1990),0.63641286,Toyota
Adobe,Microsoft,Microsoft Office 2007 is a product of,Computers_and_Electronics,Microsoft Office 2007,0.5452353,Adobe
Sega,IBM,IBM Unica NetInsight was a product of,Computers_and_Electronics,IBM Unica NetInsight,0.36027125,Sega
Nissan,Apple,"iPhone X, developed by",Computers_and_Electronics,iPhone X,0.43267655,Nissan
Apple,Google,"Chrome OS, created by",Computers_and_Electronics,Chrome OS,0.32428774,Apple
Chevrolet,Renault,"Renault 25, created by",Autos_and_Vehicles,Renault 25,0.5705105,Chevrolet
Brazil,Japan,Nitobe Inazō has a citizenship from,Law_and_Government,Nitobe Inazō,0.67726874,Brazil
Amazon,IBM,"IBM Rational Automation Framework, developed by",Computers_and_Electronics,IBM Rational Automation Framework,0.3161118,Amazon
Finnish,Russian,The official language of Itkulovo is,Jobs_and_Education,Itkulovo,0.62672466,Finnish
Fiat,Toyota,"Toyota Corolla Spacio, developed by",Autos_and_Vehicles,Toyota Corolla Spacio,0.51698244,Fiat
Intel,Microsoft,"Windows NT, a product developed by",Computers_and_Electronics,Windows NT,0.4967982,Intel
Sony,Nokia,Nokia 6650 fold is developed by,Computers_and_Electronics,Nokia 6650 fold,0.40018702,Sony
Honda,Chevrolet,"Chevrolet Chevy 500, produced by",Autos_and_Vehicles,Chevrolet Chevy 500,0.60122573,Honda
Switzerland,Japan,Yojimbo was created in the country of,Arts_and_Entertainment,Yojimbo,0.5678791,Switzerland
Latin,English,The original language of The Sisterhood of the Traveling Pants is,Arts_and_Entertainment,The Sisterhood of the Traveling Pants,0.5130691,Latin
Sony,Apple,"Apple HD SC Setup, developed by",Computers_and_Electronics,Apple HD SC Setup,0.442066,Sony
Microsoft,Nintendo,"Nintendo DS, a product of",Computers_and_Electronics,Nintendo DS,0.45851204,Microsoft
Spanish,German,Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung was written in,People_and_Society,Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung,0.6022655,Spanish
London,Copenhagen,Goethe-Institut Denmark is headquartered in,Jobs_and_Education,Goethe-Institut Denmark,0.47862127,London
Apple,Square,"Final Fantasy, created by",Games,Final Fantasy,0.25685054,Apple
Ukrainian,English,The official language of Belize is,Jobs_and_Education,Belize,0.55143416,Ukrainian
Chevrolet,Nissan,Nissan Primera P12 is developed by,Autos_and_Vehicles,Nissan Primera P12,0.7375061,Chevrolet
Fiji,Belarus,Belarus is located in the country of,Jobs_and_Education,Belarus,0.36509562,Fiji
Greece,Japan,"Kotono Mitsuishi, who has a citizenship from",Law_and_Government,Kotono Mitsuishi,0.5853816,Greece
Apple,Boeing,"Boeing 777, a product manufactured by",Business_and_Industrial,Boeing 777,0.37306684,Apple
Fiat,Toyota,Toyota AD engine is created by,Autos_and_Vehicles,Toyota AD engine,0.51698244,Fiat
Swedish,English,The official language of Guyana is,Jobs_and_Education,Guyana,0.61425877,Swedish
